,Manager_id,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TO,PTS
0,1,Mike Conley,5.3,14.0,0.381,4.4,5.5,0.803,2.0,2.3,4.1,1.0,0.3,1.5,17.1
1,1,Eric Gordon,6.4,15.1,0.422,3.7,4.4,0.826,3.2,2.1,2.3,0.7,0.4,2.3,19.6
2,1,Paul George,7.1,16.4,0.436,3.5,4.3,0.808,3.2,5.4,3.0,2.4,0.7,2.8,21.0
3,1,Ersan Ilyasova,4.2,9.0,0.46,1.5,2.0,0.765,1.6,5.2,1.2,1.0,0.3,0.9,11.4
4,1,Bismack Biyombo,1.8,3.6,0.504,1.1,1.8,0.609,0.0,5.2,0.3,0.2,1.2,1.0,4.7
5,1,Isaiah Thomas,6.0,12.0,0.5,2.0,4.0,0.5,3.0,0.0,3.0,0.0,0.0,2.0,17.0
6,1,Serge Ibaka,5.5,11.1,0.494,1.2,1.6,0.731,1.6,6.1,0.8,0.4,1.5,1.2,13.8
7,1,Nicolas Batum,4.1,9.8,0.418,1.3,1.6,0.811,1.2,4.2,4.8,1.0,0.4,2.0,10.7
8,1,Zach LaVine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,Rudy Gay,4.3,9.1,0.476,2.1,2.7,0.785,0.7,5.2,1.5,0.8,0.6,1.6,11.5
10,1,Aaron Gordon,6.7,13.9,0.483,3.1,4.1,0.748,2.3,8.1,2.0,0.9,0.8,1.7,18.8
11,1,Nikola Vucevic,7.3,14.9,0.491,1.4,1.6,0.821,1.4,9.3,3.3,1.0,1.1,1.9,17.4
12,1,Jahlil Okafor,2.5,5.8,0.435,0.5,1.0,0.5,0.0,3.8,0.3,0.3,0.5,1.5,5.5
0,2,Eric Bledsoe,6.3,13.8,0.456,3.8,5.0,0.759,1.6,3.9,4.3,2.0,0.6,3.0,17.9
1,2,George Hill,3.6,7.8,0.461,1.5,2.0,0.773,1.4,3.0,2.7,0.8,0.3,1.5,10.1
